Word,Log Rank,Log Frequency
the killings,2.5327543789924976,1.2304489213782739
the last,2.534026106056135,1.2304489213782739
the pair,2.5352941200427703,1.2304489213782739
the police,2.53655844257153,1.2304489213782739
the street,2.537819095073274,1.2304489213782739
the way,2.5390760987927767,1.2304489213782739
trying to,2.5403294747908736,1.2304489213782739
was also,2.5415792439465807,1.2304489213782739
was arrested,2.5428254269591797,1.2304489213782739
went to,2.5440680443502757,1.2304489213782739
when she,2.545307116465824,1.2304489213782739
with him,2.546542663478131,1.2304489213782739
you have,2.5477747053878224,1.2304489213782739
a man,2.5490032620257876,1.2041199826559248
a statement,2.550228353055094,1.2041199826559248
a young,2.5514499979728753,1.2041199826559248
accused of,2.552668216112193,1.2041199826559248
court yesterday,2.5538830266438746,1.2041199826559248
des lynam,2.5550944485783194,1.2041199826559248
from his,2.5563025007672873,1.2041199826559248
had the,2.5575072019056577,1.2041199826559248
her husband,2.558708570533166,1.2041199826559248
his new,2.5599066250361124,1.2041199826559248
hobbs who,2.561101383649056,1.2041199826559248
i thought,2.5622928644564746,1.2041199826559248
if the,2.5634810853944106,1.2041199826559248
in their,2.5646660642520893,1.2041199826559248
left the,2.5658478186735176,1.2041199826559248
like to,2.56702636615906,1.2041199826559248
local authority,2.568201724066995,1.2041199826559248
n roll,2.569373909615046,1.2041199826559248
of an,2.5705429398818973,1.2041199826559248
on her,2.571708831808688,1.2041199826559248
people in,2.5728716022004803,1.2041199826559248
rock and,2.574031267727719,1.2041199826559248
rock n,2.575187844927661,1.2041199826559248
such as,2.576341350205793,1.2041199826559248
that was,2.5774917998372255,1.2041199826559248
the hospital,2.578639209968072,1.2041199826559248
the murders,2.57978359661681,1.2041199826559248
there s,2.5809249756756194,1.2041199826559248
was an,2.582063362911709,1.2041199826559248
was given,2.583198773968623,1.2041199826559248
with an,2.584331224367531,1.2041199826559248
won t,2.5854607295085006,1.2041199826559248
a pint,2.586587304671755,1.1760912590556813
about it,2.5877109650189114,1.1760912590556813
according to,2.5888317255942073,1.1760912590556813
and is,2.5899496013257077,1.1760912590556813
and roll,2.591064607026499,1.1760912590556813
and said,2.5921767573958667,1.1760912590556813
appeared in,2.593286067020457,1.1760912590556813
at her,2.5943925503754266,1.1760912590556813
ba s,2.595496221825574,1.1760912590556813
british airways,2.59659709562646,1.1760912590556813
doesn t,2.597695185925512,1.1760912590556813
eight years,2.598790506763115,1.1760912590556813
he then,2.5998830720736876,1.1760912590556813
health service,2.6009728956867484,1.1760912590556813
her home,2.6020599913279625,1.1760912590556813
him he,2.603144372620182,1.1760912590556813
ian brown,2.60422605308447,1.1760912590556813
mr morris,2.6053050461411096,1.1760912590556813
