Word,Log Rank,Log Frequency
happened,2.6655809910179533,1.3979400086720377
job,2.6665179805548807,1.3979400086720377
leave,2.667452952889954,1.3979400086720377
lost,2.66838591669,1.3979400086720377
morning,2.6693168805661123,1.3979400086720377
murdered,2.670245853074124,1.3979400086720377
murdering,2.6711728427150834,1.3979400086720377
nine,2.6720978579357175,1.3979400086720377
public,2.673020907128896,1.3979400086720377
revealed,2.673941998634088,1.3979400086720377
salmon,2.6748611407378116,1.3979400086720377
seven,2.6757783416740852,1.3979400086720377
singer,2.6766936096248664,1.3979400086720377
sister,2.677606952720493,1.3979400086720377
south,2.678518379040114,1.3979400086720377
suffered,2.6794278966121188,1.3979400086720377
viewers,2.680335513414563,1.3979400086720377
although,2.681241237375587,1.380211241711606
bailiffs,2.682145076373832,1.380211241711606
blue,2.6830470382388496,1.380211241711606
century,2.683947130751512,1.380211241711606
character,2.6848453616444123,1.380211241711606
charge,2.6857417386022635,1.380211241711606
comic,2.6866362692622934,1.380211241711606
elderly,2.6875289612146345,1.380211241711606
everyone,2.6884198220027105,1.380211241711606
kevin,2.6893088591236203,1.380211241711606
killings,2.690196080028514,1.380211241711606
little,2.6910814921229687,1.380211241711606
minutes,2.69196510276736,1.380211241711606
number,2.69284691927723,1.380211241711606
radio,2.693726948923647,1.380211241711606
struck,2.694605198933569,1.380211241711606
almost,2.6954816764901977,1.3617278360175928
bill,2.696356388733332,1.3617278360175928
boyfriend,2.6972293427597176,1.3617278360175928
call,2.6981005456233897,1.3617278360175928
close,2.6989700043360187,1.3617278360175928
club,2.699837725867246,1.3617278360175928
early,2.7007037171450192,1.3617278360175928
harm,2.7015679850559273,1.3617278360175928
killer,2.7024305364455254,1.3617278360175928
look,2.7032913781186614,1.3617278360175928
mel,2.7041505168397992,1.3617278360175928
parents,2.705007959333336,1.3617278360175928
prosecution,2.7058637122839193,1.3617278360175928
provided,2.7067177823367587,1.3617278360175928
redgrave,2.7075701760979363,1.3617278360175928
road,2.708420900134713,1.3617278360175928
take,2.709269960975831,1.3617278360175928
turned,2.7101173651118162,1.3617278360175928
wales,2.710963118995276,1.3617278360175928
announced,2.711807229041191,1.3424226808222062
attacked,2.7126497016272113,1.3424226808222062
autumn,2.7134905430939424,1.3424226808222062
bailey,2.714329759745233,1.3424226808222062
bound,2.7151673578484576,1.3424226808222062
director,2.716003343634799,1.3424226808222062
doing,2.7168377232995247,1.3424226808222062
due,2.717670503002262,1.3424226808222062
enfield,2.718501688867274,1.3424226808222062
expected,2.7193312869837265,1.3424226808222062
fined,2.720159303405957,1.3424226808222062
known,2.7209857441537393,1.3424226808222062
major,2.7218106152125467,1.3424226808222062
money,2.722633922533812,1.3424226808222062
morris,2.7234556720351857,1.3424226808222062
offences,2.724275869600789,1.3424226808222062
patsy,2.725094521081469,1.3424226808222062
rights,2.7259116322950483,1.3424226808222062
similar,2.7267272090265724,1.3424226808222062
spokesman,2.727541257028556,1.3424226808222062
tried,2.7283537820212285,1.3424226808222062
why,2.72916478969277,1.3424226808222062
able,2.7299742856995555,1.3222192947339193
actress,2.7307822756663893,1.3222192947339193
anyone,2.7315887651867388,1.3222192947339193
bed,2.7323937598229686,1.3222192947339193
bedroom,2.7331972651065692,1.3222192947339193
changed,2.733999286538387,1.3222192947339193
channel,2.734799829588847,1.3222192947339193
co,2.73559889969818,1.3222192947339193
drink,2.7363965022766426,1.3222192947339193
gone,2.7371926427047373,1.3222192947339193
host,2.737987326333431,1.3222192947339193
jaffrey,2.738780558484369,1.3222192947339193
kept,2.739572344450092,1.3222192947339193
lennon,2.7403626894942437,1.3222192947339193
looked,2.741151598851785,1.3222192947339193
millennium,2.741939077729199,1.3222192947339193
norfolk,2.7427251313046983,1.3222192947339193
october,2.74350976472843,1.3222192947339193
order,2.7442929831226763,1.3222192947339193
pair,2.7450747915820575,1.3222192947339193
past,2.745855195173729,1.3222192947339193
programmes,2.7466341989375787,1.3222192947339193
responsibility,2.747411807886423,1.3222192947339193
saeed,2.7481880270062002,1.3222192947339193
september,2.7489628612561616,1.3222192947339193
soap,2.749736315569061,1.3222192947339193
thing,2.7505083948513462,1.3222192947339193
things,2.751279103983342,1.3222192947339193
virgin,2.7520484478194387,1.3222192947339193
whether,2.7528164311882715,1.3222192947339193
act,2.7535830588929064,1.3010299956639813
already,2.754348335711019,1.3010299956639813
authorities,2.7551122663950713,1.3010299956639813
born,2.7558748556724915,1.3010299956639813
cannot,2.756636108245848,1.3010299956639813
coming,2.7573960287930244,1.3010299956639813
committed,2.75815462196739,1.3010299956639813
cost,2.7589118923979736,1.3010299956639813
didn,2.7596678446896306,1.3010299956639813
emma,2.760422483423212,1.3010299956639813
enough,2.7611758131557314,1.3010299956639813
eyes,2.761927838420529,1.3010299956639813
fight,2.762678563727436,1.3010299956639813
following,2.7634279935629373,1.3010299956639813
friend,2.7641761323903307,1.3010299956639813
ft,2.7649229846498886,1.3010299956639813
huge,2.765668554759014,1.3010299956639813
inside,2.7664128471123997,1.3010299956639813
making,2.7671558660821804,1.3010299956639813
manor,2.767897616018091,1.3010299956639813
met,2.7686381012476144,1.3010299956639813
present,2.7693773260761385,1.3010299956639813
presenter,2.7701152947871015,1.3010299956639813
previous,2.7708520116421442,1.3010299956639813
return,2.7715874808812555,1.3010299956639813
right,2.77232170672292,1.3010299956639813
ruled,2.7730546933642626,1.3010299956639813
sheridan,2.7737864449811935,1.3010299956639813
spent,2.7745169657285498,1.3010299956639813
statement,2.7752462597402365,1.3010299956639813
story,2.775974331129369,1.3010299956639813
though,2.776701183988411,1.3010299956639813
victoria,2.7774268223893115,1.3010299956639813
wars,2.7781512503836434,1.3010299956639813
ambulance,2.7788744720027396,1.2787536009528289
audience,2.7795964912578244,1.2787536009528289
bit,2.780317312140151,1.2787536009528289
bodily,2.7810369386211318,1.2787536009528289
bring,2.781755374652469,1.2787536009528289
brought,2.782472624166286,1.2787536009528289
campbell,2.7831886910752575,1.2787536009528289
contract,2.783903579272735,1.2787536009528289
corporation,2.784617292632875,1.2787536009528289
country,2.785329835010767,1.2787536009528289
eastenders,2.786041210242554,1.2787536009528289
gig,2.7867514221455614,1.2787536009528289
instead,2.787460474518415,1.2787536009528289
jail,2.788168371141168,1.2787536009528289
june,2.788875115775417,1.2787536009528289
ordered,2.7895807121644256,1.2787536009528289
room,2.7902851640332416,1.2787536009528289
song,2.790988475088816,1.2787536009528289
st,2.791690649020118,1.2787536009528289
start,2.792391689498254,1.2787536009528289
talent,2.79309160017658,1.2787536009528289
unsolved,2.7937903846908188,1.2787536009528289
war,2.7944880466591697,1.2787536009528289
wasn,2.795184589682424,1.2787536009528289
watching,2.7958800173440754,1.2787536009528289
whole,2.7965743332104296,1.2787536009528289
aged,2.7972675408307164,1.255272505103306
along,2.797959643737196,1.255272505103306
american,2.798650645445269,1.255272505103306
attacks,2.7993405494535817,1.255272505103306
become,2.8000293592441343,1.255272505103306
believed,2.800717078282385,1.255272505103306
biggest,2.801403710017355,1.255272505103306
blackadder,2.802089257881733,1.255272505103306
branson,2.8027737252919755,1.255272505103306
brushett,2.803457115648414,1.255272505103306
caused,2.8041394323353503,1.255272505103306
complaints,2.8048206787211623,1.255272505103306
december,2.8055008581584002,1.255272505103306
despite,2.806179973983887,1.255272505103306
detectives,2.8068580295188172,1.255272505103306
drinking,2.807535028068853,1.255272505103306
episode,2.808210972924222,1.255272505103306
fine,2.808885867359812,1.255272505103306
fourth,2.8095597146352675,1.255272505103306
full,2.8102325179950842,1.255272505103306
held,2.8109042806687006,1.255272505103306
hope,2.8115750058705933,1.255272505103306
internet,2.812244696800369,1.255272505103306
jennifer,2.8129133566428557,1.255272505103306
latest,2.813580988568192,1.255272505103306
lord,2.81424759573192,1.255272505103306
lynam,2.814913181275074,1.255272505103306
o,2.815577748324267,1.255272505103306
original,2.816241299991783,1.255272505103306
personal,2.8169038393756605,1.255272505103306
released,2.8175653695597807,1.255272505103306
saturday,2.8182258936139557,1.255272505103306
